Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/CDK11_Nearest Neighbors,0.158545,0.599643,0.934579,2.255930e-08
RDKitECFPMorganFP/CDK11_Linear SVM,0.169607,0.656071,0.915888,9.336416e-09
RDKitECFPMorganFP/CDK11_RBF SVM,0.065421,0.497500,0.929907,3.527759e-08
RDKitECFPMorganFP/CDK11_Gaussian Process,0.065421,0.500000,0.934579,2.536406e-06
RDKitECFPMorganFP/CDK11_Decision Tree,0.078053,0.543929,0.892523,1.237016e-08
RDKitECFPMorganFP/CDK11_Random Forest,0.065421,0.500000,0.934579,5.807967e-07
RDKitECFPMorganFP/CDK11_AdaBoost,0.084646,0.551429,0.906542,7.805233e-08
RDKitECFPMorganFP/CDK11_Naive Bayes,0.082049,0.548929,0.901869,7.844007e-09
RDKitECFPMorganFP/CDK11_QDA,0.075676,0.572500,0.200935,7.670878e-08
RDKitECFPMorganFP/CDK11_PLS-DA,0.412466,0.873571,0.934579,6.237278e-07
RDKitECFPMorganFP/CDK11_DNN,0.380970,0.809286,0.939252,2.117668e-05
RDKitECFPMorganFP/CDK2_Nearest Neighbors,0.340120,0.711870,0.976636,1.581600e-08
RDKitECFPMorganFP/CDK2_Linear SVM,0.447263,0.714286,0.981308,6.478180e-09
RDKitECFPMorganFP/CDK2_RBF SVM,0.170895,0.571429,0.971963,3.448050e-08
RDKitECFPMorganFP/CDK2_Gaussian Process,0.032710,0.500000,0.967290,3.579751e-06
RDKitECFPMorganFP/CDK2_Decision Tree,0.340120,0.711870,0.976636,6.935392e-09
RDKitECFPMorganFP/CDK2_Random Forest,0.032710,0.500000,0.967290,5.062780e-07
RDKitECFPMorganFP/CDK2_AdaBoost,0.202365,0.704624,0.962617,7.790560e-08
RDKitECFPMorganFP/CDK2_Naive Bayes,0.340120,0.711870,0.976636,6.009169e-09
RDKitECFPMorganFP/CDK2_QDA,0.033894,0.517943,0.200935,8.120487e-08
RDKitECFPMorganFP/CDK2_PLS-DA,0.545707,0.790200,0.976636,6.129482e-07
RDKitECFPMorganFP/CDK2_DNN,0.483506,0.824707,0.967290,2.044086e-05
RDKitECFPMorganFP/CDK7_Nearest Neighbors,0.222741,0.619949,0.934579,1.693794e-08
RDKitECFPMorganFP/CDK7_Linear SVM,0.395684,0.794823,0.939252,1.204510e-08
RDKitECFPMorganFP/CDK7_RBF SVM,0.074766,0.500000,0.925234,3.711551e-08
RDKitECFPMorganFP/CDK7_Gaussian Process,0.248248,0.593750,0.939252,5.494190e-06
RDKitECFPMorganFP/CDK7_Decision Tree,0.225013,0.646149,0.929907,1.020910e-08
RDKitECFPMorganFP/CDK7_Random Forest,0.074766,0.500000,0.925234,5.229194e-07
RDKitECFPMorganFP/CDK7_AdaBoost,0.349117,0.763573,0.934579,7.453965e-08
